NO,STRESS,EFFICACY,DiasasterReadiness,PerReadiness,SelfProtection,EmergencyResponse,ClinicalManage,ProblemCope,EmotionCope,DisCope,ComSatisfaction,ComFatigue,BURNOUT,SECONDTRAMA
1,14,31,120,48,33,18,21,18,30,36,30,60,30,30
2,11,33,166,79,38,19,30,22,27,24,31,42,26,16
3,27,20,126,51,33,19,23,12,22,25,30,60,29,31
4,19,40,139,72,30,13,24,23,32,32,46,38,19,19
5,14,31,163,64,42,23,34,22,32,28,46,41,21,20
6,28,30,120,48,33,18,21,18,30,36,30,60,30,30
7,31,20,180,73,50,26,31,15,25,32,41,71,32,39
8,28,25,129,57,37,14,21,19,27,27,27,52,29,23
9,15,30,120,54,27,13,26,18,26,28,32,47,24,23
10,20,29,113,49,28,14,22,18,29,30,30,51,26,25
11,23,29,120,48,29,17,26,13,20,22,13,50,35,15
12,31,24,143,64,34,17,28,18,30,31,35,45,22,23
13,24,21,164,64,46,24,30,17,23,24,28,52,26,26
14,16,24,141,56,38,19,28,23,26,31,36,55,29,26
15,28,30,159,64,43,24,28,18,30,36,40,70,30,40
16,32,25,100,32,33,12,23,19,30,25,39,53,28,25
17,31,23,114,49,27,15,23,16,25,23,34,55,28,27
18,28,25,103,44,23,16,20,17,30,30,21,62,34,28
19,25,22,99,42,23,13,21,19,34,32,24,56,33,23
20,29,20,160,64,44,24,28,18,23,26,37,67,32,35
21,26,20,126,48,34,18,26,18,25,29,29,63,32,31
22,32,28,89,53,11,6,19,19,33,27,39,59,29,30
23,18,35,134,58,25,24,27,23,35,30,38,47,24,23
24,26,30,160,64,44,24,28,20,26,32,40,65,28,37
25,28,20,120,48,33,18,21,12,20,24,30,60,30,30
26,10,32,167,69,43,22,33,22,33,23,41,36,19,17
27,10,32,145,64,29,21,31,23,28,26,38,40,20,20
28,23,19,124,45,29,22,28,16,26,30,20,56,36,20
29,25,21,108,48,26,15,19,17,23,27,30,60,30,30
30,18,24,130,59,24,17,30,24,33,34,40,43,20,23
31,13,32,178,76,44,25,33,21,26,21,29,35,22,13
32,28,30,160,64,44,24,28,19,29,25,38,49,23,26
33,16,39,143,53,41,24,25,19,32,23,33,57,26,31
34,28,20,120,48,33,18,21,10,16,22,22,52,29,23
35,17,30,85,32,18,17,18,20,22,24,29,39,24,15
36,26,20,121,50,28,19,24,15,23,23,30,61,31,30
37,17,30,125,52,30,15,28,24,25,26,30,42,24,18
38,16,30,137,57,31,20,29,18,24,24,39,48,24,24
39,30,20,109,48,25,13,23,18,23,26,30,59,30,29
40,17,30,164,64,44,24,32,19,27,28,32,51,26,25
41,27,20,113,48,29,14,22,18,30,36,40,69,30,39
42,18,25,145,58,39,16,32,21,31,21,36,43,25,18
43,32,30,139,48,41,18,32,18,26,27,37,47,24,23
44,25,20,121,47,33,18,23,18,25,26,30,60,29,31
45,14,23,120,48,33,18,21,12,20,24,30,60,30,30
46,28,20,120,48,33,18,21,14,20,25,30,60,30,30
47,28,30,143,64,33,15,31,24,33,34,38,62,32,30
48,20,38,94,25,25,16,28,19,29,28,30,53,33,20
49,19,21,131,53,29,20,29,20,30,22,34,40,20,20
50,28,20,157,61,44,24,28,12,20,24,30,60,30,30
51,28,19,133,55,34,18,26,12,12,19,23,54,31,23
52,25,20,120,48,33,18,21,12,21,24,30,60,30,30
53,27,30,113,51,23,16,23,18,29,29,27,58,31,27
54,10,11,170,63,44,29,34,24,38,26,40,40,19,21
55,12,32,135,55,34,16,30,23,31,23,33,37,22,15
56,21,27,113,48,25,17,23,23,25,26,25,41,23,18
57,25,20,120,48,33,18,21,12,20,24,30,60,30,30
58,24,30,136,43,41,21,31,20,27,28,29,52,31,21
59,17,40,134,64,24,18,28,24,31,33,38,53,25,28
60,28,30,91,33,23,14,21,18,30,34,29,62,32,30
61,25,20,120,48,33,18,21,18,29,29,30,59,30,29
62,25,20,120,48,33,18,21,18,30,36,30,60,30,30
63,23,25,121,50,29,13,29,20,25,27,33,64,32,32
64,28,30,40,16,11,6,7,12,19,22,30,60,30,30
65,28,21,125,52,32,17,24,22,29,24,30,58,30,28
66,26,27,109,45,28,14,22,19,25,24,39,46,23,23
67,22,29,91,48,18,6,19,21,28,30,31,48,26,22
68,18,19,139,52,41,18,28,17,27,28,34,43,24,19
69,28,30,121,48,33,18,22,18,30,36,40,70,30,40
70,21,29,148,64,35,22,27,21,31,30,38,41,21,20
