NO,age,gender,edu,Religious,Marital,work_time(y),Clinical ladder,Ward,Experience die number,Experience die number in nurse,Experience die number in clincal,care class,GSES,Preparedness,care_symptom,care_Evaluate,care_explain,care_respect,care,difficult_symptom,difficult_Evaluate,difficult_explain,difficult_respect,difficult
131,27,1,2,2,1,4.8,1,1,2,3,4,2,33,20,13,14,13,14,54,6,6,8,8,28
126,32,2,2,1,1,7.1,2,1,3,3,3,2,27,16,12,9,9,11,41,6,6,6,8,26
134,30,2,2,2,1,3.4,2,1,1,3,4,2,32,32,12,12,12,10,46,6,6,6,6,24
142,24,2,2,2,1,0.9,1,1,2,1,4,2,25,18,13,11,11,15,50,6,6,6,9,27
133,45,2,2,1,2,9.3,2,1,3,3,3,2,29,21,11,11,10,14,46,6,6,5,6,23
136,24,2,2,1,1,1,1,1,1,2,4,2,28,18,9,12,8,11,40,11,12,12,12,47
143,31,2,2,1,1,4.9,1,1,2,1,4,2,20,16,9,9,9,9,36,6,12,9,12,39
132,28,2,2,2,1,5.1,2,1,2,3,4,2,20,14,15,12,12,12,51,9,9,12,12,42
141,25,2,2,1,1,1.8,1,1,1,1,3,2,20,16,12,9,9,12,42,9,6,8,6,29
130,33,2,2,2,1,2,2,1,2,3,4,2,40,24,12,9,9,10,40,9,9,9,12,39
150,40,2,2,1,2,13.8,2,1,3,3,5,2,29,24,12,12,12,15,51,12,12,12,12,48
148,24,2,2,1,1,1.1,1,1,2,1,3,1,18,13,11,7,7,12,37,9,12,9,12,42
137,24,2,2,1,1,0.9,1,1,2,1,3,2,40,22,12,12,11,12,47,7,6,6,4,23
138,23,2,2,1,1,1,1,1,2,1,2,2,29,16,9,9,9,9,36,9,9,11,11,40
144,26,2,2,2,1,4.1,2,1,1,3,4,2,29,18,15,15,10,14,54,5,6,6,8,25
145,28,2,2,1,1,5.1,1,1,1,3,5,2,23,24,15,15,13,15,58,6,6,8,12,32
127,30,2,2,1,1,7.3,1,1,1,3,5,2,30,8,9,9,9,9,36,9,9,9,9,36
140,23,2,2,2,1,0.9,1,1,2,1,3,2,25,14,9,9,7,11,36,7,6,8,6,27
147,30,2,2,2,1,8.1,2,1,3,3,3,2,29,16,12,12,12,12,48,7,6,6,9,28
149,25,2,1,1,1,5,1,1,2,2,4,2,25,16,15,8,7,8,38,6,6,9,15,36
135,28,2,2,2,1,5.9,1,1,2,3,4,2,20,16,9,9,9,9,36,9,9,9,9,36
129,28,2,2,2,1,3.9,1,1,1,2,4,2,29,16,12,12,10,12,46,6,6,6,9,27
128,27,2,2,2,1,1.2,1,1,1,2,3,2,32,19,12,12,12,12,48,6,6,6,6,24
98,30,2,2,2,1,2.8,2,1,3,3,4,2,24,16,12,12,8,12,44,3,3,8,9,23
89,24,2,2,2,1,1,1,1,1,1,4,2,31,16,9,9,9,9,36,9,9,9,9,36
81,24,2,2,1,1,0.9,1,1,1,1,3,2,16,15,15,9,7,15,46,6,3,3,3,15
94,28,2,2,2,1,4.9,2,1,2,3,4,1,30,17,9,9,9,12,39,9,9,11,9,38
100,24,1,2,1,1,0.1,1,1,1,1,1,2,40,16,9,9,9,9,36,9,9,8,8,34
95,27,2,2,2,1,4.9,2,1,3,2,4,2,26,14,13,12,11,10,46,9,9,9,9,36
90,25,2,2,2,1,3,2,1,2,1,3,2,20,9,12,9,9,11,41,6,9,9,12,36
88,26,1,2,2,1,2.9,1,1,1,1,4,2,20,8,12,9,9,15,45,6,10,12,12,40
86,23,2,2,2,1,1,1,1,2,1,4,2,21,15,9,7,7,9,32,6,8,8,7,29
85,23,2,1,2,1,2.2,1,1,2,2,4,2,16,11,15,12,12,11,50,6,9,7,9,31
93,29,2,2,1,1,7,2,1,2,3,3,2,30,24,12,12,12,12,48,12,12,12,12,48
84,25,2,2,1,1,2.1,1,1,1,1,3,2,20,16,10,9,9,10,38,9,9,9,9,36
75,37,2,2,2,2,7.5,2,1,3,3,4,2,16,14,9,9,9,11,38,9,8,8,9,34
79,39,2,2,1,2,7.5,2,1,3,3,4,2,27,17,12,12,12,13,49,6,9,6,10,31
96,26,2,2,1,1,3.9,2,1,1,2,4,2,28,16,11,9,10,11,41,8,6,8,9,31
87,23,2,2,1,1,1,1,1,3,1,4,1,27,16,12,12,12,12,48,6,6,6,6,24
73,24,1,2,2,1,0.6,1,1,2,1,3,2,28,16,12,12,9,13,46,9,6,6,9,30
80,40,2,1,1,2,1.1,2,1,3,3,4,2,34,27,15,15,11,12,53,6,6,7,10,29
78,28,2,2,2,1,4.9,2,1,2,1,3,2,20,18,12,9,8,12,41,9,6,8,9,32
82,25,2,2,2,1,1,1,1,3,2,4,2,33,20,14,12,9,14,49,5,6,8,11,30
97,28,2,2,1,1,2.8,2,1,3,3,5,2,30,21,15,15,14,13,57,6,6,6,6,24
77,27,2,2,2,1,5.1,2,1,3,3,5,2,30,24,12,12,10,15,49,6,12,6,6,30
92,31,2,2,2,1,1.2,2,1,2,2,3,2,22,16,9,9,9,12,39,12,12,12,12,48
91,44,2,3,1,2,21,2,1,2,3,3,2,30,17,12,12,10,12,46,6,6,6,6,24
99,30,2,2,2,1,7.1,2,1,3,3,3,2,30,24,15,12,12,14,53,6,6,9,6,27
76,27,1,2,2,1,5.1,2,1,3,3,4,2,30,24,12,12,12,12,48,6,9,9,9,33
83,30,2,2,2,1,1.4,1,1,1,1,3,2,20,8,9,9,9,11,38,6,6,6,6,24
74,24,1,2,1,1,1.1,1,1,1,1,4,2,27,19,12,13,12,13,50,6,9,9,14,38
116,27,2,2,2,1,2,1,1,2,1,3,2,29,17,9,9,9,9,36,9,9,9,9,36
108,30,2,2,2,1,7,2,1,1,1,4,2,29,16,11,12,12,15,50,6,8,9,9,32
111,37,2,3,1,2,9.8,2,1,3,1,4,2,30,24,12,12,12,12,48,6,6,6,7,25
118,30,2,2,2,1,9,1,1,3,3,4,2,26,18,12,12,11,12,47,6,7,8,8,29
121,28,2,2,2,1,6.1,1,1,1,1,3,2,20,8,12,12,8,15,47,6,6,11,6,29
117,30,2,2,2,1,7.2,2,1,2,2,4,2,28,23,12,12,12,13,49,6,6,6,8,26
113,39,2,3,2,2,17,2,1,2,3,3,2,27,21,12,12,10,12,46,6,6,6,3,21
109,25,2,2,1,1,3.3,1,1,1,2,3,2,30,16,12,12,12,12,48,12,12,12,12,48
115,29,2,2,2,1,5.8,1,1,3,1,3,1,30,16,9,9,9,12,39,6,9,9,9,33
114,27,2,2,2,1,6,2,1,3,1,3,2,28,18,14,12,11,15,52,5,6,9,6,26
102,25,2,2,1,1,2.1,1,1,3,1,4,2,34,22,15,12,12,15,54,6,6,6,6,24
124,23,2,2,2,1,1.1,1,1,2,1,2,2,30,16,9,9,9,9,36,6,9,9,9,33
106,29,2,2,2,1,5.9,1,1,3,1,4,2,30,16,12,12,9,12,45,9,9,9,9,36
101,33,2,2,2,1,1.1,2,1,3,2,3,2,23,16,15,15,11,15,56,6,8,8,9,31
123,23,2,1,1,1,3,1,1,1,2,2,2,40,16,12,12,11,15,50,12,6,6,9,33
112,26,2,2,1,1,3.1,1,1,3,1,3,2,22,16,15,8,7,10,40,6,7,8,9,30
110,27,2,2,1,1,4,1,1,2,2,3,2,21,16,13,12,9,15,49,6,8,8,9,31
103,30,2,2,1,1,7.1,1,1,3,2,3,2,21,15,15,15,15,15,60,3,6,3,6,18
105,25,2,2,2,1,1.9,1,1,3,1,3,1,25,16,15,13,12,15,55,5,8,8,9,30
107,30,2,2,2,2,8.1,2,1,2,1,3,2,20,12,11,7,8,12,38,10,9,9,7,35
122,23,2,2,2,1,1,1,1,1,1,2,2,23,16,12,12,12,12,48,7,12,9,12,40
119,32,2,2,1,1,1.1,2,1,2,3,3,2,29,21,13,12,12,15,52,6,8,6,6,26
120,34,2,2,2,1,9.9,2,1,1,3,4,2,30,21,12,15,10,14,51,3,7,8,15,33
104,29,2,2,1,1,5.9,1,1,2,1,2,1,19,0,12,9,4,11,36,9,8,9,10,36
14,33,2,3,1,1,10,2,2,2,3,2,2,20,16,9,9,12,12,42,9,6,6,10,31
2,30,2,2,2,1,7.7,1,2,2,3,3,2,20,16,15,8,12,11,46,9,9,9,12,39
66,44,2,3,2,2,21,2,2,1,3,4,2,30,24,15,15,9,12,51,6,8,6,12,32
16,36,2,2,1,1,3,2,2,3,3,4,2,30,16,9,9,9,9,36,9,9,9,9,36
55,33,2,2,1,2,7.9,2,2,3,3,3,2,30,24,12,12,12,12,48,12,12,12,12,48
42,29,1,2,1,1,1,2,2,1,2,3,2,29,18,9,12,9,12,42,11,10,12,12,45
1,24,2,2,1,1,1.9,1,2,3,3,3,2,25,19,11,11,11,11,44,12,12,12,12,48
62,28,2,2,2,1,6.1,1,2,3,3,3,2,30,16,9,9,12,12,42,6,6,9,9,30
64,26,2,2,1,1,3,1,1,3,1,3,2,19,16,9,9,9,9,36,9,9,9,9,36
65,29,2,1,2,1,6.1,1,2,3,3,4,2,29,16,9,9,9,9,36,9,9,9,9,36
12,23,2,2,2,1,1,1,1,1,1,4,2,20,16,11,9,12,15,47,9,12,9,12,42
43,26,2,1,2,1,2.9,1,2,1,3,4,2,29,16,15,15,14,14,58,3,6,6,14,29
32,23,2,1,1,1,1.9,1,1,1,1,3,2,25,16,12,12,6,13,43,6,5,3,5,19
46,28,2,2,2,1,2.1,1,2,3,3,4,2,27,24,14,14,9,12,49,6,8,9,14,37
37,24,2,2,1,1,1.1,1,2,2,1,3,1,25,16,9,9,9,12,39,9,9,9,9,36
30,30,2,2,1,1,0.9,1,2,2,1,3,2,18,17,9,9,7,12,37,6,6,10,12,34
47,25,2,2,1,1,2,1,2,1,1,3,2,20,16,12,12,6,12,42,6,12,12,12,42
57,34,2,2,1,1,3.6,2,2,3,3,3,2,28,21,12,12,7,11,42,6,6,15,15,42
53,38,2,2,1,1,9.4,2,2,2,3,4,2,27,16,12,12,9,12,45,6,12,12,6,36
4,35,2,3,2,2,1.1,2,2,3,2,4,2,31,24,12,11,12,14,49,6,15,6,15,42
41,32,2,2,1,1,8.1,2,2,2,3,4,2,30,24,12,12,12,9,45,6,9,9,12,36
6,25,2,2,2,1,1.8,1,2,2,1,3,1,19,16,9,10,9,11,39,10,9,9,9,37
36,25,2,2,1,1,1.9,1,2,1,1,3,2,28,15,10,9,11,11,41,7,10,9,8,34
33,28,2,2,1,1,6,2,2,3,3,3,2,20,16,12,12,12,12,48,6,6,6,6,24
28,41,2,2,1,1,15.3,2,2,3,3,4,2,33,23,15,15,12,12,54,12,12,12,11,47
48,25,2,1,1,1,5,2,2,3,2,4,2,30,16,9,9,9,9,36,9,9,9,9,36
52,27,2,1,1,1,1.4,1,1,2,3,3,1,20,8,6,6,6,6,24,6,6,6,6,24
67,37,2,2,1,1,11.5,2,2,3,3,3,2,30,19,12,9,15,15,51,6,8,6,9,29
40,23,2,1,1,1,2.9,1,2,1,1,4,2,26,23,15,15,15,15,60,3,3,3,3,12
15,25,2,2,2,1,3,2,2,2,2,3,2,20,16,9,9,9,12,39,6,9,8,9,32
63,25,2,2,2,1,3.1,1,2,2,1,3,2,20,8,6,6,6,6,24,6,6,6,6,24
49,43,2,2,1,1,21.6,2,2,3,3,4,2,20,16,9,9,9,9,36,9,9,9,9,36
58,29,2,2,1,1,6.9,1,2,2,1,4,1,20,16,12,12,10,12,46,6,6,6,6,24
51,28,2,2,1,1,5,2,2,1,1,4,1,29,16,12,12,10,12,46,6,10,12,12,40
60,29,2,1,1,2,5.5,1,2,1,1,1,2,30,16,9,9,9,9,36,9,9,9,9,36
24,25,2,2,1,1,1,1,2,3,1,2,2,22,16,9,9,10,9,37,9,9,9,9,36
29,30,2,2,2,1,0.8,2,2,3,3,4,2,30,16,9,9,9,9,36,9,9,9,9,36
54,37,2,2,1,1,10.7,2,2,2,3,3,2,21,15,12,6,8,14,40,6,6,6,9,27
5,27,2,2,1,1,4.9,2,2,2,2,3,2,26,20,15,15,15,15,60,6,15,6,6,33
44,41,2,2,2,2,8.4,2,2,1,3,5,2,20,16,12,12,12,12,48,12,12,12,12,48
26,27,2,2,1,1,5,1,2,1,1,3,2,30,16,9,9,9,9,36,9,9,9,9,36
11,27,2,2,1,1,5.1,2,2,2,3,3,2,30,24,12,12,12,12,48,6,6,6,6,24
31,26,2,2,1,1,3.1,1,2,3,2,4,2,40,24,12,12,12,12,48,6,6,6,6,24
68,32,2,2,2,1,6.1,1,2,3,3,4,2,29,24,15,12,12,10,49,4,13,6,12,35
19,28,2,2,1,2,6,2,2,2,3,4,2,30,16,9,12,12,13,46,9,9,9,9,36
7,29,1,2,2,1,2.9,1,2,3,1,3,1,20,16,12,12,12,15,51,6,9,9,9,33
13,30,2,2,1,1,6.4,2,2,2,3,3,2,29,16,15,12,12,15,54,6,6,8,7,27
39,26,2,1,1,1,5.9,1,2,3,3,3,2,30,24,12,12,12,12,48,12,12,12,12,48
17,42,2,2,1,2,19.9,2,2,1,3,3,2,28,24,15,15,7,15,52,6,8,5,8,27
56,36,2,2,2,1,4.1,2,2,2,3,5,2,30,32,15,12,15,15,57,6,6,9,12,33
72,37,2,2,2,1,0,2,2,3,3,4,2,30,24,15,12,15,15,57,3,3,3,3,12
34,30,2,2,1,1,5.5,2,2,2,1,4,1,24,23,12,12,12,14,50,6,9,9,8,32
9,28,2,2,1,1,6.9,2,2,1,3,4,2,30,24,12,12,12,12,48,6,8,6,7,27
23,27,2,2,2,1,7,1,2,2,2,4,2,32,22,14,12,11,14,51,5,6,6,7,24
8,25,1,2,1,1,2.9,1,2,2,1,1,2,10,0,3,3,3,3,12,3,3,3,3,12
61,28,2,2,1,1,5.9,2,2,3,3,3,2,24,17,11,12,12,11,46,12,12,12,12,48
71,30,2,2,1,1,0,2,2,2,2,2,2,30,24,12,12,6,12,42,6,6,9,6,27
21,26,2,2,1,1,3,2,2,1,2,3,2,40,24,12,12,12,12,48,12,12,12,12,48
45,28,2,2,2,1,5.1,1,2,1,3,4,2,30,20,15,15,15,15,60,6,15,6,6,33
59,27,2,2,1,1,0.4,1,2,2,3,3,2,32,24,12,12,9,12,45,6,9,6,3,24
35,25,2,2,1,1,2,1,2,3,2,4,2,30,18,12,12,12,15,51,6,8,6,9,29
27,25,2,2,1,1,2,1,2,2,2,2,2,27,19,14,12,13,14,53,8,6,6,10,30
70,25,2,2,2,1,3,2,1,2,1,3,2,19,16,12,12,12,12,48,6,6,8,6,26
18,35,2,3,1,2,11.9,2,2,3,3,4,2,28,24,14,15,13,15,57,3,4,9,3,19
3,26,2,2,2,1,3,1,2,2,1,4,2,30,16,9,9,12,12,42,6,9,9,9,33
25,25,2,2,2,1,1.9,1,2,3,1,3,1,23,15,12,12,12,12,48,9,9,6,12,36
69,26,2,2,2,1,4,2,2,3,1,3,1,35,19,12,9,9,15,45,3,8,6,3,20
10,28,2,2,1,1,1.9,1,2,2,1,3,2,20,9,12,9,7,13,41,9,8,11,15,43
22,26,2,2,2,1,2.9,2,2,1,1,3,2,23,16,12,9,9,15,45,6,6,8,9,29
50,40,2,1,1,1,12.7,2,2,1,3,3,2,30,16,15,15,12,12,54,6,6,9,12,33
179,27,2,3,2,2,6,1,1,1,1,3,2,25,16,12,12,12,12,48,12,9,9,9,39
180,43,2,2,2,2,20.2,2,2,3,2,3,2,31,16,12,12,9,9,42,9,9,7,9,34
174,50,2,3,2,2,31,2,1,3,3,4,2,35,31,15,15,14,15,59,5,8,6,11,30
151,30,2,2,2,1,2.1,1,1,2,3,3,1,20,17,12,9,9,12,42,7,6,8,12,33
